source_csv,WarningCode,a_id,a_commit,a_date,a_message,a_file,a_suppressed_annotation,a_line_no,a_annotation_type,a_diffs,a_pre_commit,a_post_commit,Category,Category explanation,d_id,d_commit,d_date,d_message,d_file,d_suppressed_annotation,d_line_no,d_annotation_type,d_diffs,d_pre_commit,d_post_commit
fll-sw.csv,DM_EXIT,fll_a_26,9a9354103dee0778be56ed97da07533e1825761e,2013-12-28 8:27:52,Cleanup findbug warnings from 2.0.3,scoring/src/fll/scheduler/SchedulerUI.java,"@SuppressFBWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")",516,Added," @@ -512,7 +513,7 @@ public class SchedulerUI extends JFrame {
        putValue(ACCELERATOR_KEY, KeyStroke.getKeyStroke(KeyEvent.VK_Q, ActionEvent.CTRL_MASK));
      }
  
-    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")
+    @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")
      public void actionPerformed(final ActionEvent ae) {
        System.exit(0);
      }
 @@ -807,7 +808,7 @@ public class SchedulerUI extends JFrame {","    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")
    public void actionPerformed(final ActionEvent ae) {
      System.exit(0);
    }","    @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")
    public void actionPerformed(final ActionEvent ae) {
      System.exit(0);
    }",Technical Debt,fixed later,fll_d_5,93df8c7c84a99b8858b92219c60222bd8855ae75,2016-06-03 20:10:39,Make sure that applications exit in a way that they can be used,scoring/src/fll/scheduler/SchedulerUI.java,"@SuppressFBWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")",640,Deleted,"        putValue(LARGE_ICON_KEY, GraphicsUtils.getIcon(""toolbarButtonGraphics/general/Stop24.gif""));
 @@ -637,9 +653,8 @@ public class SchedulerUI extends JFrame {
        putValue(ACCELERATOR_KEY, KeyStroke.getKeyStroke(KeyEvent.VK_Q, ActionEvent.CTRL_MASK));
      }
  
-    @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")
      public void actionPerformed(final ActionEvent ae) {
-      System.exit(0);
+      SchedulerUI.this.setVisible(false);
      }","    @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")
    public void actionPerformed(final ActionEvent ae) {
      System.exit(0);
    }","    public void actionPerformed(final ActionEvent ae) {
      SchedulerUI.this.setVisible(false);
    }"
fll-sw.csv,DM_EXIT,fll_a_29,9a9354103dee0778be56ed97da07533e1825761e,2013-12-28 8:27:52,Cleanup findbug warnings from 2.0.3,scoring/src/fll/scheduler/assign/AssignTournaments.java,"@SuppressFBWarnings(value = ""DM_EXIT"", justification = ""Method is documented to cause an exit"")",237,Added," @@ -233,7 +234,7 @@ public class AssignTournaments {
     * 
     * @throws IOException
     */
-  @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = ""DM_EXIT"", justification = ""Method is documented to cause an exit"")
+  @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""Method is documented to cause an exit"")
    private void findColumns(final CSVReader csvreader) throws IOException {
      initializeColumnAssignments();
  ","  @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = ""DM_EXIT"", justification = ""Method is documented to cause an exit"")
  private void findColumns(final CSVReader csvreader) throws IOException {
    initializeColumnAssignments();

    while (columnAssignments.get(signupDateHeader).equals(-1)) {
      final String[] line = csvreader.readNext();
      if (null == line) {
        LOGGER.fatal(""Cannot find header line and reached EOF"");
        System.exit(1);
      }

      initializeColumnAssignments();

      for (int i = 0; i < line.length; ++i) {
        for (final Map.Entry<String, Integer> entry : columnAssignments.entrySet()) {
          if (line[i].equals(entry.getKey())) {
            entry.setValue(i);
          }
        }
      }
    }

    for (final Map.Entry<String, Integer> entry : columnAssignments.entrySet()) {
